Sim_SUOG,Sim_IC,Sim_Resnik,Sim_Wu_Palmer,Sim_Lin
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.68,0.84,1.16,0.86,0.92
0.67,0.84,1.16,0.86,0.92
0.67,0.84,1.16,0.86,0.92
0.67,0.84,1.16,0.86,0.92
0.67,0.84,1.16,0.86,0.92
0.67,0.84,1.16,0.86,0.92
0.67,0.84,1.16,0.86,0.92
0.67,0.84,1.16,0.86,0.92
0.67,0.84,1.16,0.85,0.92
0.67,0.84,1.16,0.85,0.92
0.67,0.84,1.16,0.85,0.92
0.67,0.84,1.16,0.85,0.92
0.67,0.84,1.16,0.85,0.92
0.67,0.84,1.16,0.85,0.92
0.67,0.84,1.16,0.85,0.92
0.67,0.84,1.16,0.85,0.92
0.67,0.84,1.16,0.85,0.92
0.67,0.84,1.16,0.85,0.92
0.67,0.84,1.16,0.85,0.92
0.67,0.84,1.16,0.85,0.92
0.67,0.84,1.16,0.85,0.92
0.67,0.84,1.16,0.85,0.92
0.67,0.84,1.16,0.85,0.92
0.67,0.84,1.16,0.85,0.92
0.67,0.84,1.16,0.85,0.92
0.67,0.84,1.16,0.85,0.92
0.67,0.84,1.16,0.85,0.92
0.67,0.84,1.16,0.85,0.92
0.67,0.84,1.16,0.85,0.92
0.67,0.84,1.16,0.85,0.92
0.67,0.84,1.16,0.85,0.92
0.67,0.84,1.16,0.85,0.92
0.67,0.84,1.16,0.85,0.92
0.67,0.84,1.16,0.85,0.92
0.67,0.84,1.16,0.85,0.92
0.67,0.84,1.16,0.85,0.92
0.67,0.84,1.16,0.85,0.92
0.67,0.84,1.16,0.85,0.92
0.67,0.84,1.16,0.85,0.92
0.67,0.84,1.16,0.85,0.92
0.67,0.84,1.16,0.85,0.92
0.67,0.84,1.16,0.85,0.92
0.67,0.84,1.16,0.85,0.92
0.67,0.84,1.16,0.85,0.92
0.67,0.84,1.16,0.85,0.92
0.67,0.84,1.16,0.85,0.92
0.67,0.84,1.16,0.85,0.92
0.67,0.84,1.16,0.85,0.92
0.67,0.84,1.16,0.85,0.92
0.67,0.84,1.16,0.85,0.92
0.67,0.84,1.16,0.85,0.92
0.67,0.84,1.16,0.85,0.92
0.67,0.84,1.16,0.85,0.92
0.67,0.84,1.16,0.85,0.92
0.67,0.84,1.16,0.85,0.92
0.67,0.84,1.16,0.85,0.92
0.67,0.84,1.16,0.85,0.92
0.66,0.84,1.16,0.85,0.92
0.66,0.84,1.16,0.85,0.92
0.66,0.84,1.16,0.85,0.92
0.66,0.84,1.16,0.85,0.92
0.66,0.84,1.16,0.85,0.92
0.66,0.84,1.16,0.85,0.92
0.66,0.84,1.16,0.85,0.92
0.66,0.84,1.16,0.85,0.92
0.66,0.84,1.16,0.85,0.92
0.66,0.84,1.16,0.85,0.92
0.66,0.84,1.16,0.85,0.92
0.66,0.84,1.16,0.85,0.92
0.66,0.84,1.16,0.85,0.92
0.66,0.84,1.16,0.85,0.92
0.66,0.84,1.16,0.85,0.92
0.66,0.84,1.16,0.85,0.92
0.66,0.84,1.16,0.85,0.92
0.66,0.84,1.16,0.85,0.92
0.66,0.84,1.16,0.85,0.92
0.66,0.84,1.16,0.85,0.92
0.66,0.84,1.16,0.85,0.92
0.66,0.84,1.16,0.85,0.92
0.66,0.84,1.16,0.85,0.92
0.66,0.84,1.16,0.85,0.92
0.66,0.84,1.16,0.85,0.92
0.66,0.84,1.16,0.85,0.92
0.66,0.84,1.16,0.85,0.92
0.66,0.84,1.16,0.85,0.92
0.66,0.84,1.16,0.85,0.92
0.66,0.84,1.16,0.85,0.92
0.66,0.84,1.16,0.85,0.92
0.66,0.84,1.16,0.84,0.92
0.66,0.84,1.16,0.84,0.92
0.66,0.84,1.16,0.84,0.92
0.66,0.84,1.16,0.84,0.92
0.66,0.84,1.16,0.84,0.92
0.66,0.84,1.16,0.84,0.92
0.66,0.84,1.16,0.84,0.92
0.66,0.84,1.16,0.84,0.92
0.66,0.83,1.16,0.84,0.91
0.66,0.83,1.16,0.84,0.91
0.66,0.83,1.16,0.84,0.91
0.66,0.83,1.16,0.84,0.91
0.66,0.83,1.16,0.84,0.91
0.66,0.83,1.16,0.84,0.91
0.66,0.83,1.16,0.84,0.91
0.66,0.83,1.16,0.84,0.91
0.66,0.83,1.16,0.84,0.91
0.66,0.83,1.16,0.84,0.91
